entry_time,exit_time,alpha_score,trend_score,momentum_score,volatility_score,vwap_score,market_structure_score,opening_range_score,time_score,return_pct
2020-01-07T23:45:00.000000,2020-01-08T04:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.8441255247972457
2020-01-14T11:45:00.000000,2020-01-14T16:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.8050697829764308
2020-01-20T23:45:00.000000,2020-01-21T04:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.2576144695255467
2020-02-03T03:45:00.000000,2020-02-03T08:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.8082694958276404
2020-02-09T15:45:00.000000,2020-02-09T20:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.770327476744681
2020-02-22T19:15:00.000000,2020-02-23T00:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7973424941694729
2020-02-29T07:15:00.000000,2020-02-29T12:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7606422022403247
2020-03-06T19:45:00.000000,2020-03-07T00:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.2569739228565959
2020-03-26T11:15:00.000000,2020-03-26T16:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7289928642668642
2020-04-01T23:45:00.000000,2020-04-02T04:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.24025608970323908
2020-04-08T14:45:00.000000,2020-04-08T19:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7553084350472306
2020-04-21T15:15:00.000000,2020-04-21T20:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.24250806996444219
2020-05-04T18:45:00.000000,2020-05-04T23:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7254813640225066
2020-05-11T06:45:00.000000,2020-05-11T11:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.6917067286307699
2020-05-17T19:15:00.000000,2020-05-18T00:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.22699292062238197
2020-05-24T10:45:00.000000,2020-05-24T15:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.7294883489162851
2020-06-06T10:45:00.000000,2020-06-06T15:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.22941821424773412
2020-06-19T14:15:00.000000,2020-06-19T19:15:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.6899224777815016
2020-06-26T02:45:00.000000,2020-06-26T07:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.670354542368834
2020-07-02T14:45:00.000000,2020-07-02T19:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.214957391717574
