entry_time,exit_time,alpha_score,trend_score,momentum_score,volatility_score,vwap_score,market_structure_score,opening_range_score,time_score,return_pct
2020-01-02T09:45:00.000000,2020-01-02T14:45:00.000000,34.229035,4.995875,4.62483,0.0,4.995875,9.620705000000001,9.99175,0.0,1.114900593095669
2020-10-28T12:15:00.000000,2020-10-28T17:15:00.000000,84.150008,24.518787,14.642184,10.820894000000001,4.995875,14.757331,14.414937,0.0,0.6174287142894253
2020-08-30T13:45:00.000000,2020-08-30T18:45:00.000000,95.576813,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,9.99175,0.0,0.6334369755805591
2020-07-28T21:15:00.000000,2020-07-29T02:15:00.000000,96.802471,24.518787,19.267014000000003,9.761456,4.995875,23.844402,14.414937,0.0,0.6760030495599478
2020-09-12T16:45:00.000000,2020-09-12T21:45:00.000000,96.802471,24.518787,19.267014000000003,9.761456,4.995875,23.844402,14.414937,0.0,0.6454501408992508
2020-04-28T06:15:00.000000,2020-04-28T11:15:00.000000,97.385224,24.518787,19.267014000000003,9.761456,5.578628,23.844402,14.414937,0.0,0.7462137086549969
2020-06-13T01:45:00.000000,2020-06-13T06:45:00.000000,97.385224,24.518787,19.267014000000003,9.761456,5.578628,23.844402,14.414937,0.0,0.7094471537008928
2020-05-30T22:45:00.000000,2020-05-31T03:45:00.000000,97.861909,24.518787,19.267014000000003,10.820894000000001,4.995875,23.844402,14.414937,0.0,0.6972045824838791
2020-02-16T03:45:00.000000,2020-02-16T08:45:00.000000,98.444662,24.518787,19.267014000000003,10.820894000000001,5.578628,23.844402,14.414937,0.0,0.23982186802700145
2020-04-15T03:15:00.000000,2020-04-15T08:15:00.000000,98.444662,24.518787,19.267014000000003,10.820894000000001,5.578628,23.844402,14.414937,0.0,0.7339043304751325
2020-07-15T18:15:00.000000,2020-07-15T23:15:00.000000,98.444662,24.518787,19.267014000000003,10.820894000000001,5.578628,23.844402,14.414937,0.0,0.6638624596997378
2020-01-27T15:15:00.000000,2020-01-27T20:15:00.000000,98.940562,24.518787,19.267014000000003,11.316794000000002,5.578628,23.844402,14.414937,0.0,0.831915400720562
2020-03-13T10:45:00.000000,2020-03-13T15:45:00.000000,98.940562,24.518787,19.267014000000003,11.316794000000002,5.578628,23.844402,14.414937,0.0,0.7868242280999471
2020-03-19T23:15:00.000000,2020-03-20T04:15:00.000000,99.417247,24.518787,19.267014000000003,12.376232000000002,4.995875,23.844402,14.414937,0.0,0.7647284439407542
2020-08-10T22:15:00.000000,2020-08-11T03:15:00.000000,99.417247,24.518787,19.267014000000003,12.376232000000002,4.995875,23.844402,14.414937,0.0,0.6390518786961508
2020-10-08T21:15:00.000000,2020-10-09T02:15:00.000000,99.417247,24.518787,19.267014000000003,12.376232000000002,4.995875,23.844402,14.414937,0.0,0.6333793115773867
2020-10-21T21:45:00.000000,2020-10-22T02:45:00.000000,99.417247,24.518787,19.267014000000003,12.376232000000002,4.995875,23.844402,14.414937,0.0,0.5884256794329357
2020-01-07T23:45:00.000000,2020-01-08T04:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.8441255247972457
2020-01-14T11:45:00.000000,2020-01-14T16:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.8050697829764308
2020-01-20T23:45:00.000000,2020-01-21T04:45:00.000000,100.0,24.518787,19.267014000000003,12.376232000000002,5.578628,23.844402,14.414937,0.0,0.2576144695255467
